"ES0105200002","ABENGOA, S.A.","Mat.Basicos, Industria y Construcción - Ingeniería y Otros","Mercado Continuo"," ",
"ES0125220311","ACCIONA,S.A.","Mat.Basicos, Industria y Construcción - Construcción","Mercado Continuo","IBEX 35®",
"ES0132105018","ACERINOX, S.A.","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"ES0167050915","ACS,ACTIVIDADES DE CONST.Y SERVICIOS S.A","Mat.Basicos, Industria y Construcción - Construcción","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"ES0106000013","ADOLFO DOMINGUEZ, S.A.","Bienes de Consumo - Textil, Vestido y Calzado","Mercado Continuo"," ",
"ES0105287009","AEDAS HOMES, S.A.","Servicios Inmobiliarios - Inmobiliarias y Otros","Mercado Continuo"," ",
"ES0105046009","AENA, S.M.E., S.A.","Servicios de Consumo - Transporte y Distribución","Mercado Continuo","IBEX 35®",
"NL0000235190","AIRBUS SE","Mat.Basicos, Industria y Construcción - Aerospacial","Mercado Continuo"," ",
"ES0152768612","AIRTIFICIAL INTELLIGENCE STRUCTURES S.A.","Mat.Basicos, Industria y Construcción - Ingeniería y Otros","Mercado Continuo"," ",
"ES0126501131","ALANTRA PARTNERS, S.A.","Servicios Financieros - Cartera y Holding","Mercado Continuo"," ",
"MXP000511016","ALFA, S.A.B. DE C.V.","Servicios Financieros - Cartera y Holding","Latibex","FTSE Latibex TOP, FTSE Latibex All Share",
"ES0157097017","ALMIRALL, S.A.","Bienes de Consumo - Productos farmaceúticos y Biotecnología","Mercado Continuo","IBEX 35®",
"ES0109067019","AMADEUS IT GROUP, S.A.","Tecnología y Telecomunicaciones - Electrónica y Software","Mercado Continuo","IBEX 35®",
"MXP001691213","AMERICA MOVIL S,A,B,","Tecnología y Telecomunicaciones - Telecomunicaciones y Otros","Latibex","FTSE Latibex TOP, FTSE Latibex All Share",
"ES0109260531","AMPER, S.A.","Tecnología y Telecomunicaciones - Electrónica y Software","Mercado Continuo"," ",
"ES0105375002","AMREST HOLDINGS, S.E.","Servicios de Consumo - Ocio, Turismo y Hostelería","Mercado Continuo"," ",
"LU0569974404","APERAM, SOCIETE ANONYME","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Mercado Continuo"," ",
"ES0105022000","APPLUS SERVICES, S.A.","Mat.Basicos, Industria y Construcción - Ingeniería y Otros","Mercado Continuo"," ",
"LU1598757687","ARCELORMITTAL, S.A.","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Mercado Continuo","IBEX 35®",
"ES0105376000","ARIMA REAL ESTATE SOCIMI, S.A.","Servicios Inmobiliarios - SOCIMI","Mercado Continuo"," ",
"ES0109427734","ATRESMEDIA CORP. DE MEDIOS DE COM. S.A.","Servicios de Consumo - Medios de Comunicación y Publicidad","Mercado Continuo"," ",
"ES0136463017","AUDAX RENOVABLES, S.A.","Petróleo y Energía - Energías Renovables","Mercado Continuo"," ",
"ES0152960045","AYCO GRUPO INMOBILIARIO, S.A.","Servicios Inmobiliarios - Inmobiliarias y Otros","Parqué"," ",
"ES0112458312","AZKOYEN S.A.","Mat.Basicos, Industria y Construcción - Fabric. y Montaje Bienes de Equipo","Mercado Continuo"," ",
"ARP125991090","BANCO BBVA ARGENTINA, S.A.","Servicios Financieros - Bancos y Cajas de Ahorro","Latibex","FTSE Latibex All Share",
"ES0113211835","BANCO BILBAO VIZCAYA ARGENTARIA, S.A.","Servicios Financieros - Bancos y Cajas de Ahorro","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"BRBBDCACNPR8","BANCO BRADESCO S.A.","Servicios Financieros - Bancos y Cajas de Ahorro","Latibex","FTSE Latibex BRASIL, FTSE Latibex TOP, FTSE Latibex All Share",
"ES0113860A34","BANCO DE SABADELL, S.A.","Servicios Financieros - Bancos y Cajas de Ahorro","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"ARBRIO010194","BANCO SANTANDER RIO, S.A.","Servicios Financieros - Bancos y Cajas de Ahorro","Latibex","FTSE Latibex All Share",
"ES0113900J37","BANCO SANTANDER, S.A.","Servicios Financieros - Bancos y Cajas de Ahorro","Mercado Continuo","IBEX 35®",
"ES0113679I37","BANKINTER,S.A.","Servicios Financieros - Bancos y Cajas de Ahorro","Mercado Continuo","IBEX 35®",
"ES0114297015","BARON DE LEY, S.A.","Bienes de Consumo - Alimentación y Bebidas","Mercado Continuo"," ",
"AU000000BKY0","BERKELEY ENERGIA LIMITED","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Mercado Continuo"," ",
"ES0172233118","BIOSEARCH, S.A.","Bienes de Consumo - Productos farmaceúticos y Biotecnología","Mercado Continuo"," ",
"ES0115002018","BODEGAS RIOJANAS, S.A.","Bienes de Consumo - Alimentación y Bebidas","Mercado Continuo"," ",
"ES0105271011","BORGES AGRICULTURAL & INDUST. NUTS, S.A.","Bienes de Consumo - Alimentación y Bebidas","Mercado Continuo"," ",
